n	Direct
1	6.180340e-01
2	3.819660e-01
3	2.360680e-01
4	1.458980e-01
5	9.016994e-02
6	5.572809e-02
7	3.444185e-02
8	2.128624e-02
9	1.315562e-02
10	8.130619e-03
11	5.024999e-03
12	3.105620e-03
13	1.919379e-03
14	1.186241e-03
15	7.331374e-04
16	4.531039e-04
17	2.800336e-04
18	1.730703e-04
19	1.069633e-04
20	6.610696e-05
21	4.085635e-05
22	2.525061e-05
23	1.560574e-05
24	9.644876e-06
25	5.960861e-06
26	3.684015e-06
27	2.276846e-06
28	1.407168e-06
29	8.696779e-07
30	5.374905e-07
31	3.321874e-07
32	2.053031e-07
33	1.268843e-07
34	7.841881e-08
35	4.846549e-08
36	2.995332e-08
37	1.851217e-08
38	1.144115e-08
39	7.071019e-09
40	4.370130e-09
41	2.700889e-09
42	1.669241e-09
43	1.031648e-09
44	6.375934e-10
45	3.940544e-10
46	2.435390e-10
47	1.505154e-10
48	9.302363e-11
49	5.749176e-11
50	3.553186e-11
51	2.195990e-11
52	1.357196e-11
53	8.387935e-12
54	5.184029e-12
55	3.203906e-12
56	1.980123e-12
57	1.223783e-12
58	7.563396e-13
59	4.674436e-13
60	2.888960e-13
61	1.785476e-13
62	1.103485e-13
63	6.819910e-14
64	4.214936e-14
65	2.604974e-14
66	1.609962e-14
67	9.950115e-15
68	6.149509e-15
69	3.800606e-15
70	2.348904e-15
71	1.451702e-15
72	8.972013e-16
73	5.545009e-16
74	3.427004e-16
75	2.118005e-16
76	1.308999e-16
77	8.090059e-17
78	4.999932e-17
79	3.090128e-17
80	1.909804e-17
81	1.180324e-17
82	7.294802e-18
83	4.508435e-18
84	2.786366e-18
85	1.722069e-18
86	1.064297e-18
87	6.577719e-19
88	4.065254e-19
89	2.512465e-19
90	1.552789e-19
91	9.596762e-20
92	5.931125e-20
93	3.665637e-20
94	2.265488e-20
95	1.400149e-20
96	8.653395e-21
97	5.348092e-21
98	3.305303e-21
99	2.042789e-21
100	1.262513e-21
