
n	Theta	Error
1	7.853981633974483e-01	1.570796326794897e+00	
2	3.926990816987241e-01	7.853981633974483e-01	
3	5.890486225480862e-01	3.926990816987241e-01	
4	4.908738521234052e-01	1.963495408493621e-01	
5	5.399612373357456e-01	9.817477042468103e-02	
6	5.645049299419159e-01	4.908738521234057e-02	
7	5.767767762450011e-01	2.454369260617029e-02	
8	5.829126993965437e-01	1.227184630308509e-02	
9	5.798447378207724e-01	6.135923151542544e-03	
10	5.783107570328867e-01	3.067961575771272e-03	
11	5.775437666389439e-01	1.533980787885580e-03	
12	5.779272618359153e-01	7.669903939427902e-04	
13	5.777355142374296e-01	3.834951969713396e-04	
14	5.776396404381867e-01	1.917475984857253e-04	
15	5.776875773378082e-01	9.587379924291817e-05	
16	5.776636088879974e-01	4.793689962145908e-05	
17	5.776516246630921e-01	2.396844981067403e-05	
18	5.776456325506394e-01	1.198422490533702e-05	
19	5.776486286068657e-01	5.992112452668508e-06	
20	5.776501266349789e-01	2.996056226334254e-06	
21	5.776493776209224e-01	1.498028113222638e-06	
22	5.776497521279507e-01	7.490140565558079e-07	
23	5.776495648744365e-01	3.745070282779039e-07	
24	5.776496585011937e-01	1.872535141389520e-07	
25	5.776497053145722e-01	9.362675701396483e-08	
26	5.776497287212614e-01	4.681337850698242e-08	
27	5.776497404246060e-01	2.340668925349121e-08	
28	5.776497345729337e-01	1.170334462674560e-08	
29	5.776497374987699e-01	5.851672368883953e-09	
30	5.776497389616879e-01	2.925836128930825e-09	
31	5.776497396931470e-01	1.462918119976564e-09	
32	5.776497400588765e-01	7.314590044771307e-10	
33	5.776497398760118e-01	3.657294467274141e-10	
34	5.776497399674441e-01	1.828647233637071e-10	
35	5.776497400131603e-01	9.143241719300477e-11	
36	5.776497400360183e-01	4.571620859650238e-11	
37	5.776497400245892e-01	2.285804878709996e-11	
38	5.776497400303038e-01	1.142907990470121e-11	
39	5.776497400331611e-01	5.714539952350606e-12	
40	5.776497400317324e-01	2.857269976175303e-12	
41	5.776497400310181e-01	1.428634988087651e-12	
42	5.776497400313753e-01	7.143174940438257e-13	
43	5.776497400315539e-01	3.571587470219129e-13	
44	5.776497400316432e-01	1.785238623597252e-13	
45	5.776497400315985e-01	8.926193117986259e-14	
46	5.776497400315762e-01	4.463096558993129e-14	
47	5.776497400315874e-01	2.231548279496565e-14	
48	5.776497400315819e-01	1.121325254871408e-14	
49	5.776497400315790e-01	5.662137425588298e-15	
50	5.776497400315777e-01	2.775557561562891e-15	
51	5.776497400315783e-01	1.332267629550188e-15	
52	5.776497400315780e-01	6.661338147750939e-16	
53	5.776497400315781e-01	3.330669073875470e-16	
54	5.776497400315781e-01	1.110223024625157e-16	
55	5.776497400315781e-01	1.110223024625157e-16	
56	5.776497400315781e-01	1.110223024625157e-16	
57	5.776497400315781e-01	1.110223024625157e-16	
58	5.776497400315781e-01	1.110223024625157e-16	
59	5.776497400315781e-01	1.110223024625157e-16	
60	5.776497400315781e-01	1.110223024625157e-16	
