
Iteration	x_n	Error_n
1	0.000000e+00	3.000000e+01	
2	-7.500000e+00	1.500000e+01	
3	-1.125000e+01	7.500000e+00	
4	-9.375000e+00	3.750000e+00	
5	-8.437500e+00	1.875000e+00	
6	-7.968750e+00	9.375000e-01	
7	-8.203125e+00	4.687500e-01	
8	-8.085938e+00	2.343750e-01	
9	-8.027344e+00	1.171875e-01	
10	-7.998047e+00	5.859375e-02	
11	-7.983398e+00	2.929688e-02	
12	-7.990723e+00	1.464844e-02	
13	-7.987061e+00	7.324219e-03	
14	-7.985229e+00	3.662109e-03	
15	-7.986145e+00	1.831055e-03	
16	-7.986603e+00	9.155273e-04	
17	-7.986374e+00	4.577637e-04	
18	-7.986488e+00	2.288818e-04	
19	-7.986431e+00	1.144409e-04	
20	-7.986460e+00	5.722046e-05	
21	-7.986445e+00	2.861023e-05	
22	-7.986438e+00	1.430511e-05	
23	-7.986442e+00	7.152557e-06	
24	-7.986444e+00	3.576279e-06	
25	-7.986445e+00	1.788139e-06	
26	-7.986444e+00	8.940697e-07	
27	-7.986444e+00	4.470348e-07	
28	-7.986444e+00	2.235174e-07	
29	-7.986444e+00	1.117587e-07	
30	-7.986444e+00	5.587935e-08	
31	-7.986444e+00	2.793968e-08	
32	-7.986444e+00	1.396984e-08	
33	-7.986444e+00	6.984919e-09	
34	-7.986444e+00	3.492460e-09	
35	-7.986444e+00	1.746230e-09	
36	-7.986444e+00	8.731149e-10	
37	-7.986444e+00	4.365575e-10	
38	-7.986444e+00	2.182787e-10	
39	-7.986444e+00	1.091394e-10	
40	-7.986444e+00	5.456968e-11	
41	-7.986444e+00	2.728484e-11	
42	-7.986444e+00	1.364242e-11	
43	-7.986444e+00	6.821210e-12	
44	-7.986444e+00	3.410605e-12	
45	-7.986444e+00	1.705303e-12	
46	-7.986444e+00	8.526513e-13	
47	-7.986444e+00	4.263256e-13	
48	-7.986444e+00	2.131628e-13	
49	-7.986444e+00	1.065814e-13	
50	-7.986444e+00	5.329071e-14	
51	-7.986444e+00	2.664535e-14	
52	-7.986444e+00	1.332268e-14	
53	-7.986444e+00	6.217249e-15	
54	-7.986444e+00	3.552714e-15	
55	-7.986444e+00	1.776357e-15	
56	-7.986444e+00	8.881784e-16	
57	-7.986444e+00	8.881784e-16	
58	-7.986444e+00	8.881784e-16	
59	-7.986444e+00	8.881784e-16	
60	-7.986444e+00	8.881784e-16	
61	-7.986444e+00	8.881784e-16	
62	-7.986444e+00	8.881784e-16	
63	-7.986444e+00	8.881784e-16	
64	-7.986444e+00	8.881784e-16	
65	-7.986444e+00	8.881784e-16	
66	-7.986444e+00	8.881784e-16	
67	-7.986444e+00	8.881784e-16	
68	-7.986444e+00	8.881784e-16	
69	-7.986444e+00	8.881784e-16	
70	-7.986444e+00	8.881784e-16	
71	-7.986444e+00	8.881784e-16	
72	-7.986444e+00	8.881784e-16	
73	-7.986444e+00	8.881784e-16	
74	-7.986444e+00	8.881784e-16	
75	-7.986444e+00	8.881784e-16	
76	-7.986444e+00	8.881784e-16	
77	-7.986444e+00	8.881784e-16	
78	-7.986444e+00	8.881784e-16	
79	-7.986444e+00	8.881784e-16	
80	-7.986444e+00	8.881784e-16	
81	-7.986444e+00	8.881784e-16	
82	-7.986444e+00	8.881784e-16	
83	-7.986444e+00	8.881784e-16	
84	-7.986444e+00	8.881784e-16	
85	-7.986444e+00	8.881784e-16	
86	-7.986444e+00	8.881784e-16	
87	-7.986444e+00	8.881784e-16	
88	-7.986444e+00	8.881784e-16	
89	-7.986444e+00	8.881784e-16	
90	-7.986444e+00	8.881784e-16	
91	-7.986444e+00	8.881784e-16	
92	-7.986444e+00	8.881784e-16	
93	-7.986444e+00	8.881784e-16	
94	-7.986444e+00	8.881784e-16	
95	-7.986444e+00	8.881784e-16	
96	-7.986444e+00	8.881784e-16	
97	-7.986444e+00	8.881784e-16	
98	-7.986444e+00	8.881784e-16	
99	-7.986444e+00	8.881784e-16	
100	-7.986444e+00	8.881784e-16	
