
Iteration	x_n	Error_n
1	0.000000000000000e+00	2.000000000000000e+01	
2	-5.000000000000000e+00	1.000000000000000e+01	
3	-7.500000000000000e+00	5.000000000000000e+00	
4	-8.750000000000000e+00	2.500000000000000e+00	
5	-8.125000000000000e+00	1.250000000000000e+00	
6	-7.812500000000000e+00	6.250000000000000e-01	
7	-7.968750000000000e+00	3.125000000000000e-01	
8	-8.046875000000000e+00	1.562500000000000e-01	
9	-8.007812500000000e+00	7.812500000000000e-02	
10	-7.988281250000000e+00	3.906250000000000e-02	
11	-7.978515625000000e+00	1.953125000000000e-02	
12	-7.983398437500000e+00	9.765625000000000e-03	
13	-7.985839843750000e+00	4.882812500000000e-03	
14	-7.987060546875000e+00	2.441406250000000e-03	
15	-7.986450195312500e+00	1.220703125000000e-03	
16	-7.986145019531250e+00	6.103515625000000e-04	
17	-7.986297607421875e+00	3.051757812500000e-04	
18	-7.986373901367188e+00	1.525878906250000e-04	
19	-7.986412048339844e+00	7.629394531250000e-05	
20	-7.986431121826172e+00	3.814697265625000e-05	
21	-7.986440658569336e+00	1.907348632812500e-05	
22	-7.986445426940918e+00	9.536743164062500e-06	
23	-7.986443042755127e+00	4.768371582031250e-06	
24	-7.986444234848022e+00	2.384185791015625e-06	
25	-7.986444830894470e+00	1.192092895507812e-06	
26	-7.986444532871246e+00	5.960464477539062e-07	
27	-7.986444383859634e+00	2.980232238769531e-07	
28	-7.986444309353828e+00	1.490116119384766e-07	
29	-7.986444272100925e+00	7.450580596923828e-08	
30	-7.986444290727377e+00	3.725290298461914e-08	
31	-7.986444300040603e+00	1.862645149230957e-08	
32	-7.986444304697216e+00	9.313225746154785e-09	
33	-7.986444307025522e+00	4.656612873077393e-09	
34	-7.986444305861369e+00	2.328306436538696e-09	
35	-7.986444305279292e+00	1.164153218269348e-09	
36	-7.986444305570330e+00	5.820766091346741e-10	
37	-7.986444305715850e+00	2.910383045673370e-10	
38	-7.986444305788609e+00	1.455191522836685e-10	
39	-7.986444305752229e+00	7.275957614183426e-11	
40	-7.986444305734040e+00	3.637978807091713e-11	
41	-7.986444305743134e+00	1.818989403545856e-11	
42	-7.986444305738587e+00	9.094947017729282e-12	
43	-7.986444305736313e+00	4.547473508864641e-12	
44	-7.986444305737450e+00	2.273736754432321e-12	
45	-7.986444305736882e+00	1.136868377216160e-12	
46	-7.986444305737166e+00	5.684341886080801e-13	
47	-7.986444305737308e+00	2.842170943040401e-13	
48	-7.986444305737237e+00	1.421085471520200e-13	
49	-7.986444305737201e+00	7.105427357601002e-14	
50	-7.986444305737219e+00	3.552713678800501e-14	
51	-7.986444305737210e+00	1.776356839400250e-14	
52	-7.986444305737215e+00	8.881784197001252e-15	
53	-7.986444305737212e+00	4.440892098500626e-15	
54	-7.986444305737211e+00	1.776356839400250e-15	
55	-7.986444305737210e+00	8.881784197001252e-16	
56	-7.986444305737210e+00	8.881784197001252e-16	
57	-7.986444305737210e+00	8.881784197001252e-16	
58	-7.986444305737210e+00	8.881784197001252e-16	
59	-7.986444305737210e+00	8.881784197001252e-16	
60	-7.986444305737210e+00	8.881784197001252e-16	
