
Iteration	x_n	Error_n
0	1.500000000000000e+01	2.298644447326660e+01	
1	9.453924914675767e+00	1.744036938794237e+01	
2	5.831800463968690e+00	1.381824493723529e+01	
3	3.488096242558115e+00	1.147454071582472e+01	
4	1.954346904544627e+00	9.940791377811228e+00	
5	8.124936020629079e-01	8.798938075329509e+00	
6	-1.265235917521337e+00	6.721208555745264e+00	
7	4.148457989227627e-01	8.401290272189364e+00	
8	-4.212024985747311e+01	-3.413380538420650e+01	
9	-2.899478304679454e+01	-2.100833857352794e+01	
10	-2.032153427840300e+01	-1.233508980513640e+01	
11	-1.466523341178136e+01	-6.678788938514757e+00	
12	-1.110315736691874e+01	-3.116712893652142e+00	
13	-9.067520876355017e+00	-1.081076403088415e+00	
14	-8.182969692138235e+00	-1.965252188716331e-01	
15	-7.994788130463433e+00	-8.343657196831167e-03	
16	-7.986460315144961e+00	-1.584187835934614e-05	
17	-7.986444305796317e+00	1.674702847509479e-07	
18	-7.986444305737209e+00	1.675293921366006e-07	
19	-7.986444305737210e+00	1.675293912484221e-07	
20	-7.986444305737211e+00	1.675293903602437e-07	
